Kommun;Namn;Organisation;Typ;Plats_Adress;Epost;Telefon;Ovrigt
Södertälje;Mariekäll Scoutkår – scoutlokal;Mariekäll Scoutkår;Scoutlokal;Linnégatan 5, Södertälje;mariekall.scoutkar@gmail.com;070 818 53 23;Kåren anger även scoutstuga i Enhörna (ej detaljerad i canvas)
Södertälje;Södertälje Sjöscoutkår – scoutlokal;Södertälje Sjöscoutkår;Scoutlokal;Oxbacksgatan 12, Södertälje;info@scouterna.se;08-568 432 00;
Tyresö;Fornudden;Trollbäckens Scoutkår;Scoutstuga;Fornuddsvägen 63, Tyresö;info@trollbackensscoutkar.se;;
Tyresö;Stordal;Trollbäckens Scoutkår;Scoutstuga;(plats ej angiven i canvas);info@trollbackensscoutkar.se;;
Tyresö;Drängstugan (Alby);Krusboda Scoutkår;Scoutstuga;Alby gård, Tyresö;kontakt@krusbodascouter.se;;
Tyresö;Tallborgen;Sköndals land- och sjöscoutkår;Scoutstuga;Tyresta naturreservat;"info@slsk.se; ubbe@slsk.se";08-648 44 84;Uthyrningskontakt: ubbe@slsk.se
Täby;Scoutlokalen;Näsby Parks Scoutkår;Scoutlokal;Parkvägen 42, Täby;info.npscout@gmail.com;;
Täby;Scoutlokalen;Viggbyholms Sjöscoutkår;Scoutlokal;Djursholmsvägen 16, Täby;styrelse@vssk.se;;
Täby;Scoutgården (uthyrning);Täby Kyrkby Scoutkår;Scoutgård;(plats ej angiven i canvas);stuga@tks-scout.se;;
Upplands Väsby;Scoutgården;Upplands Väsby Scoutkår;Scoutgård;Bryggerivägen 10, 194 39 Upplands Väsby;"info@vasbyscout.se; medlemsregistrator@vasbyscout.se";;
Vallentuna;Scoutstugan Liljan;Vallentuna Scoutkår;Scoutstuga;Vid Vallentuna IP (mellan tennishallen och Hagaskolan);info@vallentunascoutkar.se;;
Vaxholm;Scoutlokal (tillfällig);Waxholms Scoutkår;Scoutlokal;Lillvägen 7, 185 94 Vaxholm;info@waxholmsscoutkar.se;;Tillfällig lokal enligt kårinfo
Värmdö;Vindalsö (Scouternas anläggning);Vindalsö / Scouternas anläggning;Anläggning;Värmdö (skärgård);"scout@ejderby.se; asa.neumann@bahnhof.se";;Frågor + bokning/administration
Värmdö;Skatboet;Scoutkansliet;Scoutstuga/Anläggning;Värmdö;info@scoutkansliet.se;08-652 05 10;
Värmdö;Scoutstuga / båtar;Värmdö Sjöscoutkår;Scoutstuga;Skärgårdsvägen 192, Värmdö;"boka.bat.stuga@varmdoscout.se; ordforande@varmdoscout.se";;
Österåker;Uthyrning (stugor + kanoter);Österåkers Scoutkår;Uthyrning;(stugor ej specificerade i canvas);bokning@osterakersscoutkar.se;;
Österåker;Husarö scoutgård;Stiftelsen Husarö scoutgård / Husarö Sjöscoutkår;Scoutgård;Husarö (Österåker);"gustaf@husaroscoutgard.se; medlem.husarosjoscouter@gmail.com";08-542 450 29;Hyreskontakt + scoutkårkontakt
Österåker;Prästtorp;Österåkers Scoutkår;Scoutstuga;(adress ej angiven i canvas);webmaster@osterakersscoutkar.se;;
